exportIFC_USDToIFC	导出IFC
y2dSpre_TOWER_TOWGDC	交互指定过渡层
y2dSpre_TOWER_TOWXTL	交互指定结构顶部突出屋面的小塔楼
y2dSpre_TOWER_TOWROOF	交互指定结构主要屋面所在楼层
y2dSpre_TOWER_RESETPROP	重置楼层属性及各层材料信息
y2dSpre_TOWER_AUTOSGCX	按程序默认规则自动刷新施工模拟次序
y2dSpre_TOWER_SETSGCX	手工合并或拆分楼层施工模拟次序
y2dSpre_TOWER_SETSGCXGJ	指定单构件的施工模拟次序
y2dSpre_TOWER_SETSGCXLIST	表格方式修改施工模拟次序
y2dSpre_TOWER_TOWCOLUMNC	修改指定塔指定楼层的柱混凝土强度等级
y2dSpre_TOWER_TOWBEAMC	修改指定塔指定楼层的梁混凝土强度等级
y2dSpre_TOWER_TOWWALLC	修改指定塔指定楼层的墙混凝土强度等级
y2dSpre_TOWER_TOWBRACEC	修改指定塔指定楼层的斜杆混凝土强度等级
y2dSpre_TOWER_TOWSLABC	修改指定塔指定楼层的楼板混凝土强度等级
y2dSpre_TOWER_TOWSTEEL	修改指定塔指定楼层的钢构件钢号
y2dSpre_TOWER_TOWCOLUMNS	修改指定塔指定楼层的钢构件钢号
y2dSpre_TOWER_TOWBEAMS	修改指定塔指定楼层的钢构件钢号
y2dSpre_TOWER_TOWBRACES	修改指定塔指定楼层的钢构件钢号
y2dSpre_TOWER_TOWWALLS	修改指定塔指定楼层的钢构件钢号
y2dSpre_TOWER_MATDLG	统一修改各塔各层构件材料
y2dSpre_TOWER_ENVFLR	指定需要进行包络设计的楼层
y2dSpre_TOWER_ENVCOMP	指定需要进行包络设计的构件
y2dSpre_TOWER_ENVCOMPDEL	删除已指定的包络设计构件
y2dSpre_TOWER_ENVCLEAR	清除已指定的包络设计构件信息
y2dSpre_SPWINDAUTO	
y2dSpre_SPWINDAUTOGF	
y2dSpre_WIND_AUTO+X	
y2dSpre_WIND_AUTO-X	
y2dSpre_WIND_AUTO+Y	
y2dSpre_WIND_AUTO-Y	
y2dSpre_WIND_CUSTDIR	
y2dSpre_WIND_BZDEL	
y2dSpre_WIND_DIRX	
y2dSpre_WIND_DIRY	
y2dSpre_WIND_BEAMSET	
y2dSpre_WIND_BEAMDEL	
y2dSpre_WIND_NODESET	
y2dSpre_WIND_NODEDEL	
y2dSpre_WIND_PDEVSET	
y2dSpre_WIND_PDEVDEL	
y2dSpre_WIND_ALLDEL	
y2dSpre_WIND_ROOMMU	
y2dSpre_CLMU_CLCY	
y2dSpre_CLMU_CLNCY	
y2dSpre_CLMU_CLNCYEX	
y2dSpre_CLMU_BR	
